 PLZ;door_number;street_name;Fix_max_speed;Cube_max_speed
1020;1;Abbey Avenue;50;130
1020;2;Abbey Avenue;250;310
1020;3;Abbey Avenue;50;20
1020;4;Abbey Avenue;650;60
1020;5;Abbey Avenue;50;40
1020;6;Abbey Avenue;550;140
1020;7;Abbey Avenue;1050;220
1020;8;Abbey Avenue;50;240
1020;9;Abbey Avenue;50;10
1020;10;Abbey Avenue;50;200
1020;11;Abbey Avenue;50;250
1020;12;Abbey Avenue;50;230
1020;13;Abbey Avenue;50;270
1020;14;Abbey Avenue;250;160
1020;15;Abbey Avenue;750;300
1020;16;Abbey Avenue;600;290
1020;17;Abbey Avenue;800;150
1020;18;Abbey Avenue;400;270
1020;19;Abbey Avenue;150;180
1020;20;Abbey Avenue;50;170
1020;21;Abbey Avenue;150;120
1020;22;Abbey Avenue;650;140
1020;23;Abbey Avenue;350;120
1020;24;Abbey Avenue;100;230
1020;25;Abbey Avenue;450;250
1020;26;Abbey Avenue;450;180
1020;27;Abbey Avenue;650;170
1020;28;Abbey Avenue;250;180
1020;29;Abbey Avenue;450;120
1020;30;Abbey Avenue;50;10
1020;31;Abbey Avenue;50;100
1020;32;Abbey Avenue;600;170
1020;33;Abbey Avenue;350;10
1020;34;Abbey Avenue;600;10
1020;35;Abbey Avenue;750;70
1020;36;Abbey Avenue;50;80
1020;37;Abbey Avenue;50;110
1020;38;Abbey Avenue;450;290
1020;39;Abbey Avenue;400;210
1020;40;Abbey Avenue;50;180
1020;41;Abbey Avenue;50;170
1020;42;Abbey Avenue;50;160
1020;43;Abbey Avenue;50;220
1020;44;Abbey Avenue;100;200
1020;45;Abbey Avenue;800;180
1020;46;Abbey Avenue;650;300
1020;47;Abbey Avenue;200;130
1020;48;Abbey Avenue;400;280
1020;49;Abbey Avenue;650;70
1020;50;Abbey Avenue;50;250
1020;51;Abbey Avenue;100;30
1020;52;Abbey Avenue;50;360
1020;53;Abbey Avenue;350;100
1020;54;Abbey Avenue;100;270
1020;55;Abbey Avenue;250;240
1020;1;Abbey Close;650;280
1020;2;Abbey Close;700;10
1020;3;Abbey Close;200;200
1020;4;Abbey Close;500;100
1020;5;Abbey Close;700;220
1020;6;Abbey Close;50;270
1020;7;Abbey Close;500;10
1020;8;Abbey Close;250;160
1020;9;Abbey Close;700;200
1020;10;Abbey Close;50;310
1020;11;Abbey Close;550;60
1020;12;Abbey Close;50;140
1020;13;Abbey Close;550;320
1020;14;Abbey Close;400;220
1020;15;Abbey Close;850;100
1020;16;Abbey Close;150;10
1020;17;Abbey Close;250;250
1020;18;Abbey Close;350;220
1020;19;Abbey Close;200;140
1020;20;Abbey Close;50;120
1020;21;Abbey Close;300;110
1020;22;Abbey Close;50;330
1020;23;Abbey Close;850;170
1020;24;Abbey Close;50;150
1020;25;Abbey Close;550;200
1020;26;Abbey Close;250;310
1020;27;Abbey Close;50;210
1020;28;Abbey Close;100;220
1020;29;Abbey Close;300;190
1020;30;Abbey Close;50;330
1020;31;Abbey Close;600;160
1020;32;Abbey Close;300;100
1020;33;Abbey Close;150;90
1020;34;Abbey Close;100;190
1020;35;Abbey Close;500;380
